name,url,varietal,origin,rating_dict,avg_rating,rating_count,price_dollars,price_cents,page,red,white,sparking,collectible,giftable,green,screwcap,boutique
S': '98', 'RP': '95', 'WS': '92', 'JD': '92'}",4.2,13,150,"
    ",2,1,0,0,1,0,0,0,0
Chateau Haut-Brisson 2015,/product/chateau-haut-brisson-2015/153200,Bordeaux Red Blends,"St. Emilion, Bordeaux, France","{'JS': '95', 'WE': '93', 'JD': '92', 'RP': '91'}",4.3,21,29,99,2,1,0,0,0,0,1,0,0
Saracco Moscato d'Asti 2018,/product/saracco-moscato-dasti-2018/517853,Muscat,"Asti, Piedmont, Italy",{'V': '94'},4.3,9,17,99,2,0,1,0,0,0,0,0,0
Chateau Cote de Baleau 2015,/product/chateau-cote-de-baleau-2015/158294,Bordeaux Red Blends,"St. Emilion, Bordeaux, France","{'RP': '94', 'WS': '92', 'JS': '92'}",4.4,20,31,99,2,1,0,0,0,0,0,0,0
Chateau Sansonnet 2015,/product/chateau-sansonnet-2015/400828,Bordeaux Red Blends,"St. Emilion, Bordeaux, France","{'JS': '96', 'JD': '94', 'WS': '92', 'RP': '92', 'D': '92', 'WE': '92'}",4.0,14,39,99,2,1,0,0,0,0,0,0,0
Chateau Pichon-Longueville Baron 2016,/product/chateau-pichon-longueville-baron-2016/202515,Bordeaux Red Blends,"Pauillac, Bordeaux, France","{'JS': '99', 'RP': '97', 'WE': '97', 'JD': '97', 'D': '96', 'WS': '96'}",4.6,7,179,99,2,1,0,0,1,0,0,0,0
Foxen Bien Nacido Block Eight Pinot Noir 2015,/product/foxen-bien-nacido-block-eight-pinot-noir-2015/508780,Pinot Noir,"Santa Maria Valley, Central Coast, California","{'WE': '96', 'RP': '93', 'JD': '92'}",4.3,6,64,99,2,1,0,0,0,0,0,0,0
Chateau Malartic-Lagraviere 2014,/product/chateau-malartic-lagraviere-2014/142829,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France","{'WE': '96', 'JS': '94', 'D': '93', 'WW': '93', 'RP': '92', 'TP': '92', 'WS': '91', 'JD': '91'}",4.3,8,54,99,2,1,0,0,0,0,0,0,0
Hall Eighteen Seventy-Three Cabernet Sauvignon 2014,/product/hall-eighteen-seventy-three-cabernet-sauvignon-2014/405545,Cabernet Sauvignon,"Napa Valley, California","{'WW': '98', 'WE': '95'}",4.4,71,80,"
    ",2,1,0,0,0,0,0,0,0
La Posta Pizzella Family Vineyard Malbec 2017,/product/la-posta-pizzella-family-vineyard-malbec-2017/516703,Malbec,"Mendoza, Argentina","{'JS': '93', 'RP': '90', 'TA': '90'}",3.9,19,18,"
    ",2,1,0,0,0,0,0,0,0
