url,name,size,alcohol,description,reviews
/product/chateau-haut-brisson-2015/153200,Chateau Haut-Brisson 2015,750,0,"A soft, immediately approachable classic Saint-Emilion. Notes f raspberries, strawberries, plums, balanced with gentle acidity and rounded off with sweet fine-grained oak. A perfect wine to drink with a special dinner. View More","{'JS': 'This is the best Haut-Brisson ever showing ripe dark plums and chocolate on the nose, which is so seductive. The palate is all about the silky tannins and beautiful fruit. Full body, gorgeous fruit and a complex aftertaste. So precise and impressive. Texturally complete. Drink or hold.', 'WE': 'Barrel Sample. The new wood flavors are strong here. They go with a minty character and bright acidity. The wine is dry and concentrated, with a firm core as well as juicy black fruits. It is beginning to balance well.\nBarrel Sample:  91-93 Points', 'JD': ""Made by Jérôme Aguirre, who previously worked at Christine Péré-Vergé's vineyards in Pomerol, utilizing Michel Rolland as a consultant, the 2015 Château Haut Brisson is a gem based on 90% Merlot and 10% Cabernet Franc that was raised in 35% new French oak. This medium to full-bodied, concentrated, intellectual 2015 offers a lifted, perfumed style in its cassis and assorted black/blue fruits, dried violets, Asian spice, and earthy, gravely, mineral-nuances. With solid mid-palate depth, a light, graceful texture, fine tannin and impressive length, I’d give bottle 4-5 years of cellaring and enjoy over the following 10-15 years. It’s a beautiful wine. Tasted twice."", 'RP': 'Aged for 16 months in barrels, 35% new, the 2015 Haut Brisson is a blend of 90% Merlot and 10% Cabernet Franc. Medium to deep garnet-purple in color, it opens with savory smoked meats, sauteed herbs and dusty soil scents plus touches of cedar chest and iron ore over a core of black cherries, red currants and warm plums. The medium-bodied palate is firm and crunchy with a chewy backbone, finishing with great freshness and length.'}"
/product/saracco-moscato-dasti-2018/517853,Saracco Moscato d'Asti 2018,750,0,"Saracco Moscato is as sweet and seductive as the hills where it is born and grows; as vibrant and sharp as the mountains that surround and protect the land on the horizon; refreshing and effervescent, like the wind rushing down from the Alps towards their hills. Served cold with its delicate and persistent bubbles, it is like a refreshing shower in summer. View More","{'V': ""Luminous pale straw-green with golden tinges. Captivating aromas of orange blossom, lemon verbena, vanilla, sage and ripe grapefruit nectar. Dense, juicy and suave, presenting a multilayered, complex set of flavors similar to the aromas. The finish is very long, resonating with a floral topnote and delightful vibrancy. Outstanding, concentrated, complex and very pure Moscato d'Asti.""}"
/product/chateau-cote-de-baleau-2015/158294,Chateau Cote de Baleau 2015,750,0,"Blend: 80% Merlot, 15% Cabernet Franc, and 5% Cabernet Sauvignon View More","{'RP': 'The 2015 Côte de Baleau has a refined and intense bouquet with precise black and red fruit, seamlessly integrated oak and a sense of terroir coming through. The palate is medium-bodied with fine tannin, well-judged acidity and plenty of finesse and poise towards the finish. This is such a pretty Saint Emilion that you almost overlook its length and persistence. It is one of the best wines that I have tasted from the estate. Barrel Sample: 92-94', 'WS': 'This has a juicy core of crushed raspberry, boysenberry and red currant fruit that has melded already with singed mesquite and iron threads. Best from 2020 through 2030.', 'JS': 'Attractive, spiced berry and earthy aromas with light mocha notes, leading to a palate with fresh red berries. A lithe, mid-weight clutch of tannins to close. Drink or hold.'}"
/product/chateau-sansonnet-2015/400828,Chateau Sansonnet 2015,750,15,"The color is dark. The nose, spiced, reveals a beautiful brightness of black fruits. There is a lot of density in the attach. Unctuousness, intensity and elegance in mouth translate the exceptional quality of tannins. The whole is melted in the mineral expression of the famous argilo calcareous soils.
Blend: 90% Merlot, 7% Cabernet Sauvignon, 3% Cabernet Franc View More","{'JS': 'Quite floral, this shows a wealth of very ripe plums and black cherries. The tannins are powerful with a thread of spicy cinnamon-infused oak. Rippling with power. Yet ever so refined and beautiful. Try around 2025.', 'JD': 'The finest vintage I’ve tasted from this estate, the 2015 Château Sansonnet is a deep, full-bodied, opulent beauty with notes of chocolaty dark fruits, leafy herbs and lots of graphite. Possessing a wealth of fruit and sweet, yet building tannin, this thick, beautifully layered wine is an awesome effort that will keep for 15+ years. The lieu-dit Sansonnet lies just east of the village of Saint-Emilion and covers 6.96 hectares. It was purchased by Marie and Christophe Lefévère in 2009 and this 2015 is 90% Merlot, 7% Cabernet Sauvignon and 3% Cabernet Franc, aged 16 months in 80% new oak.', 'WS': 'A ripe, muscular, extracted style, with lots of warm fig, raspberry and blackberry confiture flavors wrestling with one another. Shows a brambly imprint on the fruit, and a grippy undertow of roasted apple wood adds to the heft. Features some cut, but this remains a touch shy on refinement in the end. Best from 2023 through 2035.', 'RP': 'The 2015 Sansonnet is composed of 90% Merlot, 7% Cabernet Sauvignon and 3% Cabernet Franc aged for 16 months in French oak, 80% new. Deep garnet-purple with a nose of crushed blackberries, plum preserves and beef drippings with touches of sautéed herbs and tapenade, the full-bodied palate has loads of concentration and energy with a firm, velvety frame and long finish.', 'D': 'This is the wine that made James Lawther MW talk about the ‘dramatic improvements’ at this château in his Decanter tasting note during en primeur. He was absolutely right, and four years on this is still a lovely, if extremely young wine. Intense, concentrated, dark chocolate and damson notes.', 'WE': 'Big, ripe and packed with tannins, this is a dense wine. The concentration is palpable, rich with black plum and berry fruits. This powerful wine with its great tannins and fruit needs to age. Drink from 2025.'}"
/product/chateau-pichon-longueville-baron-2016/202515,Chateau Pichon-Longueville Baron 2016,750,14,"Blend: 85% Cabernet Sauvignon, 15% Merlot View More","{'JS': 'The concentration and largesse of the 2016 Pichon Baron is apparent from the get-go with incredibly alluring, ripe and expansive fruit aromas in the blackberry, dark-cherry, mulberry and plum zone. Espresso and cedar, as well as a slate-like, stony mineral edge add complexity. The palate has incredible depth, drive and detail. Fine and plush tannins stretch the palate in every direction. So fresh and vivacious, this is the greatest Pichon Baron since 1989 and has a long future. Try from 2024.', 'RP': 'Deep garnet-purple colored, the 2016 Pichon-Longueville Baron offers a suave and seductive nose of warm red and black currants, black plum preserves, truffles, tapenade and rose hip tea with touches of sandalwood and Chinese five spice plus a waft of iron ore. Medium to full-bodied, firmly structured and packed with mineral and exotic spice-laced black fruits, it finishes very long with compelling herbal sparks.', 'WE': 'As often with this estate, this wine combines opulent richness and an elegant structure. It is a bold wine, ripe and full of black fruits. But it holds together impressively, with nothing in excess. The wine will age well; drink from 2025. \nCellar Selection', 'JD': 'The 2016 Château Pichon-Longueville Baron is beauty and is a blend of 85% Cabernet Sauvignon and 15% Merlot that was brought up in 80% new French oak. Tasting like a hypothetical mix of the 2009 and 2010, its deep purple color is followed by a powerful yet sensationally pure bouquet of crème de cassis, blackberries, lead pencil shavings, and graphite, and is just about as quintessentially Pauillac as it gets. Full-bodied, fleshy and even a touch flamboyant, it has sweet tannins and a monster texture that coats the palate. Count me in as a huge fan. This fabulous wine will be relatively approachable in just 3-5 years but will age for 30 years or more.', 'D': ""There's no question that we are in Pauillac with this wine: it's a deep, dark purple in colour and a little more reserved on the nose than some, with more of that pencil-lead and slate character. The texture is almost as important as the flavour, and it shows its quality. This is all cassis, wet stone and loganberry, and conveys heft rather than sinew. It tightens through the mid-palate to the point that it contracts - a serious wine. Matured in 80% new oak."", 'WS': ""This gushes with dark fig and black currant compote flavors backed by lively sweet tobacco and singed alder edges. Very fleshy in feel, though there's ample grip to keep this red grounded, echoing with tar and humus accents through the finish. A thumper. Best from 2025 through 2040.""}"
/product/foxen-bien-nacido-block-eight-pinot-noir-2015/508780,Foxen Bien Nacido Block Eight Pinot Noir 2015,750,13.9, View More,"{'WE': 'This block-designate wine shows flamboyant aromas of red cherry, cola, purple flowers and light caramel. The palate offers an amazingly cohesive and zesty experience, combining piquant cranberry and tart raspberry with slate-driven minerality and a persistent woody spice. The texture is soft, but lifted by strong acidity.', 'RP': ""The 2015 Pinot Noir Bien Nacido Vineyard Block 8 is quite Burgundian in profile, wafting from the glass with aromas of wild berries, grilled game bird, spice and rich soil. On the palate, it's medium-bodied, sappy and savory, with fine tannins and a penetrating, sapid finish."", 'JD': ""A big step up over the Santa Maria Valley release, the 2015 Pinot Noir Block 8 Bien Nacido offers a terrific bouquet of black cherries, saddle leather, spice-box and dried herbs. It's fresh, nicely concentrated and textured, with good acidity, and will benefit from short term cellaring.""}"
/product/chateau-malartic-lagraviere-2014/142829,Chateau Malartic-Lagraviere 2014,750,0,"Blend: 52% Cabernet Sauvignon, 40% Merlot, 5% Cabernet Franc, 3% Petit Verdot. View More","{'WE': 'A tightly coiled rich wine that has great acidity as well as a lively structure. Touched by spice from wood aging as well as intense citrus, it is fruity, firm and strongly textured. Drink this impressive still-young wine from 2022.\n\nCellar Selection', 'JS': 'So perfumed with a freshness and beauty that is amazing. Blackberries, black cherries and violets. Full-bodied yet so polished and velvety. Gorgeous finish. A beauty. Best ever in bottle from here? Drink in 2020.', 'D': 'Clear breeding and ambition. Damson, pencil lead and wet stones on the nose, full extraction, more so than many others but without losing a sense of vibrancy and grip. This is excellent within the context of the vintage, a real sense of floating above the tannins, one to wait for.', 'WW': ""An ultra-rich wine, the 2014 Château Marlartic Lagravière shows off the beautiful black ripeness of the vintage. Long and lasting, this wine delivers an almost exotic combination of elements—blackberries, savory herbs, and chalk. Simply masterful, this is one of the winery's best efforts to date. (Tasted: January 27, 2017, San Francisco, CA)"", 'RP': 'The 2014 Malartic-Lagraviere had quite a high-toned, upfront bouquet with kirsch, crushed strawberry, iodine and iris scents that do not hold back. The palate is rounded on the entry with supple tannin, possesses slightly lower acidity than its peers yet remains balanced. There is impressive depth to this Malartic-Lagravière with a subtle white pepper/sage note towards the finish. Though it will be overshadowed by the 2015, this is a well-crafted Pessac-Léognan with the chutzpah that it showed in barrel.', 'TP': 'The kosher version from a Grand Cru classe chateau; deep ruby color; silky and elegant with ripe, tangy style; balanced and stylish; long and rich. 45% Merlot, 45% Cabernet Sauvignon, and 10% Cabernet Franc.', 'WS': 'Very solid, with a core of dark plum, blackberry and fig preserve notes held in check by tarry grip. Ample singed apple wood and cocoa elements form the frame. Give this time to meld fully. Best from 2019 through 2026.', 'JD': 'A terrific success in the vintage, the 2014 Chateau Malartic-Lagraviere is a blend of 52% Cabernet Sauvignon, 40% Merlot, 5% Cabernet Franc and 3% Petit Verdot that was brought up in 70% new oak. Hitting 13.5% natural alcohol, it offers a vibrant ruby/purple color as well as vibrant aromatics of cherries, mulberries, red plums, exotic flowers, and lead pencil shavings. Medium-bodied and beautifully polished and elegant, with solid acidity, it’s a juicy, vibrant, fresh 2014 that’s going to drink nicely for 15-20 years.'}"
/product/hall-eighteen-seventy-three-cabernet-sauvignon-2014/405545,Hall Eighteen Seventy-Three Cabernet Sauvignon 2014,750,15.3,"Brooding and earth-driven, this wine opens with dominant aromas of crushed rocks, ripe blackberries, and wild blueberries. The weighty palate is structured by fine, powerful, tightly-wound tannins and balanced acidity. Integrated French Oak aromatics of toasted coconut, cinnamon and clove carry through the lengthy finish. 100% Cabernet Sauvignon View More","{'WW': 'COMMENTARY: The Hall Eighteen Seventy-Three Cabernet Sauvignon comes through with one of the 2014 vintage top wines. TASTING NOTES. This wine is impressive right off of the bat. Bright and beautiful, its bounty of ripe raspberries and savory oak stay long and lovingly on the palate. Its ultra-rich finish should pair it well with generous Porterhouse. (Tasted: March 29, 2018, San Francisco, CA)', 'WE': 'A 100% varietal wine, this is brawny in tannin and big in oak, yet completely beguiling in an underlying delicacy of refined power. Chalky texture that traffics in tobacco and leather overlays elusive fruit and persistent earthiness, a mix of blueberry and blackberry bramble and mountain sage.'}"
/product/la-posta-pizzella-family-vineyard-malbec-2017/516703,La Posta Pizzella Family Vineyard Malbec 2017,750,0,"A beautiful red and purple color with aromas of black cherries, dark fruits, dark chocolate and baker's spice. On the palate, the wine shows dense, dark berry and plum flavors along with hints of sandalwood and spice, and even a hint of violets in the finish. Don't be concerned if you find yourself inhaling deeply from your glass, over and over—it is just your nose's way of telling you that it wants its fair share! This is a full-bodied and well-structured wine that is incredibly full of life and born to be enjoyed with food and friends. It goes great with everything from hamburgers and chicken to pizza and mild cheeses. An awesome value to boot. View More","{'JS': 'Lots of black licorice to this malbec as well as citrus, bark and some moss. Tightly wound with firm tannins, driven acidity and a very minerally finish.', 'RP': 'I also got to taste the 2017 Malbec Pizzella Vineyard and compare it with the previous vintage. This is more transparent and riper than the 2016, with darker fruit and more abundant tannins, but it is still among the best of the 2017s. There are some fine tannins and good balance.', 'TA': 'The best of the La Posta range comes from a family-owned vineyard in La Consulta. It’s a medium-bodied style that’s appropriately European in style, given the brand’s Italian inspiration, with plummy concentration supported by acidity and fine tannins. 2019-22. Alcohol: 13.5%'}"
/product/numanthia-termes-2015/506070,Numanthia Termes 2015,750,15,"Harvested from over 30 years old vines, this wine fully expresses the fruit's liveliness. Fresh and fruity on the nose with aromas of cherries in alcohol, fresh figs, raspberries, and plums. These perfectly integrate with hints of aromatics such as thyme and eucalyptus in addition to subtle notes of hazelnuts, tobacco, and cinnamon. The mouthfeel is fresh and balanced, with a predominance of fruit flavors. View More","{'JS': 'Black as the ace of spades with great berry fruit and a lot of savory character, this is a very distinctive Toro red. Very powerful with plenty of fruit sweetness, but as the wine flows over the palate it slowly turns ever further in the savory direction. Long, beautifully balanced finish. Drink or hold.', 'RP': ""Cropped from a warm and ripe year, the entry-level 2015 Termes was able to keep its poise and balance. It has balsamic aromas and flavors, with sweet fruit on the palate. It's 15% alcohol and matured in French barriques for 14 months.""}"
