,name,url,varietal,origin,rating_dict,avg_rating,rating_count,page,red,white,sparking,collectible,giftable,green,screwcap,boutique,price,price_bins,description
1,Saracco Moscato d'Asti 2018,/product/saracco-moscato-dasti-2018/517853,Muscat,Italy,{'V': '94'},4.3,9,2,0,1,0,0,0,0,0,0.0,17.99,<20,"Saracco Moscato is as sweet and seductive as the hills where it is born and grows; as vibrant and sharp as the mountains that surround and protect the land on the horizon; refreshing and effervescent, like the wind rushing down from the Alps towards their hills. Served cold with its delicate and persistent bubbles, it is like a refreshing shower in summer. View More"
2,Chateau Cote de Baleau 2015,/product/chateau-cote-de-baleau-2015/158294,Bordeaux Red Blends,France,"{'RP': '94', 'WS': '92', 'JS': '92'}",4.4,20,2,1,0,0,0,0,0,0,0.0,31.99,20-50,"Blend: 80% Merlot, 15% Cabernet Franc, and 5% Cabernet Sauvignon View More"
3,Chateau Sansonnet 2015,/product/chateau-sansonnet-2015/400828,Bordeaux Red Blends,France,"{'JS': '96', 'JD': '94', 'WS': '92', 'RP': '92', 'D': '92', 'WE': '92'}",4.0,14,2,1,0,0,0,0,0,0,0.0,39.99,20-50,"The color is dark. The nose, spiced, reveals a beautiful brightness of black fruits. There is a lot of density in the attach. Unctuousness, intensity and elegance in mouth translate the exceptional quality of tannins. The whole is melted in the mineral expression of the famous argilo calcareous soils.
Blend: 90% Merlot, 7% Cabernet Sauvignon, 3% Cabernet Franc View More"
4,Chateau Pichon-Longueville Baron 2016,/product/chateau-pichon-longueville-baron-2016/202515,Bordeaux Red Blends,France,"{'JS': '99', 'RP': '97', 'WE': '97', 'JD': '97', 'D': '96', 'WS': '96'}",4.6,7,2,1,0,0,1,0,0,0,0.0,179.99,100+,"Blend: 85% Cabernet Sauvignon, 15% Merlot View More"
5,Foxen Bien Nacido Block Eight Pinot Noir 2015,/product/foxen-bien-nacido-block-eight-pinot-noir-2015/508780,Pinot Noir,California,"{'WE': '96', 'RP': '93', 'JD': '92'}",4.3,6,2,1,0,0,0,0,0,0,0.0,64.99,50-100, View More
6,Chateau Malartic-Lagraviere 2014,/product/chateau-malartic-lagraviere-2014/142829,Bordeaux Red Blends,France,"{'WE': '96', 'JS': '94', 'D': '93', 'WW': '93', 'RP': '92', 'TP': '92', 'WS': '91', 'JD': '91'}",4.3,8,2,1,0,0,0,0,0,0,0.0,54.99,50-100,"Blend: 52% Cabernet Sauvignon, 40% Merlot, 5% Cabernet Franc, 3% Petit Verdot. View More"
7,Hall Eighteen Seventy-Three Cabernet Sauvignon 2014,/product/hall-eighteen-seventy-three-cabernet-sauvignon-2014/405545,Cabernet Sauvignon,California,"{'WW': '98', 'WE': '95'}",4.4,71,2,1,0,0,0,0,0,0,0.0,80.0,50-100,"Brooding and earth-driven, this wine opens with dominant aromas of crushed rocks, ripe blackberries, and wild blueberries. The weighty palate is structured by fine, powerful, tightly-wound tannins and balanced acidity. Integrated French Oak aromatics of toasted coconut, cinnamon and clove carry through the lengthy finish. 100% Cabernet Sauvignon View More"
8,La Posta Pizzella Family Vineyard Malbec 2017,/product/la-posta-pizzella-family-vineyard-malbec-2017/516703,Malbec,Argentina,"{'JS': '93', 'RP': '90', 'TA': '90'}",3.9,19,2,1,0,0,0,0,0,0,0.0,18.0,<20,"A beautiful red and purple color with aromas of black cherries, dark fruits, dark chocolate and baker's spice. On the palate, the wine shows dense, dark berry and plum flavors along with hints of sandalwood and spice, and even a hint of violets in the finish. Don't be concerned if you find yourself inhaling deeply from your glass, over and over—it is just your nose's way of telling you that it wants its fair share! This is a full-bodied and well-structured wine that is incredibly full of life and born to be enjoyed with food and friends. It goes great with everything from hamburgers and chicken to pizza and mild cheeses. An awesome value to boot. View More"
9,Numanthia Termes 2015,/product/numanthia-termes-2015/506070,Tempranillo,Spain,"{'JS': '94', 'RP': '90'}",4.1,20,2,1,0,0,0,0,0,0,0.0,25.99,20-50,"Harvested from over 30 years old vines, this wine fully expresses the fruit's liveliness. Fresh and fruity on the nose with aromas of cherries in alcohol, fresh figs, raspberries, and plums. These perfectly integrate with hints of aromatics such as thyme and eucalyptus in addition to subtle notes of hazelnuts, tobacco, and cinnamon. The mouthfeel is fresh and balanced, with a predominance of fruit flavors. View More"
10,Mount Eden Vineyards Estate Cabernet Sauvignon 2014,/product/mount-eden-vineyards-estate-cabernet-sauvignon-2014/355924,Cabernet Sauvignon,California,"{'JD': '97', 'D': '96', 'W&S': '96', 'WW': '92', 'WE': '92'}",4.8,6,2,1,0,0,1,0,0,0,0.0,79.99,50-100, View More
11,Chateau Pontet-Canet 2015,/product/chateau-pontet-canet-2015/153356,Bordeaux Red Blends,France,"{'JS': '98', 'V': '97', 'WE': '97', 'RP': '96', 'D': '96', 'JD': '95', 'WS': '94'}",4.1,14,2,1,0,0,1,0,1,0,0.0,139.99,100+,"Vibrant and deep in color. The nose is a fusion of red and black berries, graphite and spices. The palate's structure is particularly dense and long with chiseled tannins of incredible precision. View More"
12,Billecart-Salmon Brut Rose,/product/billecart-salmon-brut-rose/23291,Rosé Sparkling Wine,France,"{'WW': '96', 'JS': '94', 'WS': '93', 'RP': '93', 'D': '92', 'WE': '91'}",4.6,149,2,0,0,1,0,0,0,0,0.0,79.99,50-100,"Persistent mousse, with fine bubbles rising slowly. Pale salmon pink in color, with a shade of gold. A nose of red fruits and fresh pear. Delicate fruit on the palate, elegant, and showing great finesse. View More"
13,Bruno Paillard Rose Premiere Cuvee,/product/bruno-paillard-rose-premiere-cuvee/5912,Rosé Sparkling Wine,France,"{'W&S': '94', 'WW': '93', 'JS': '93', 'D': '93', 'WS': '91', 'RP': '91', 'WE': '90'}",4.9,8,2,0,0,1,0,0,0,0,0.0,67.99,50-100,"A hymn to the bright delicacy of Pinot Noir, the Premiere Cuvee Rosé is named on account of its composition of only the first pressing. The pink copper color with a hint of raspberry when young evolves to salmon while ageing. The fine bubbles are due to a strict selection of the best grapes, perfectly controlled temperature in the cellar and very long ageing. The initial aromas of redcurrant and red fruits evolve to morello cherry, wild strawberry and violet while breathing in the glass. A touch of lemon denotes the discrete presence of Chardonnay. With age, aromas tend towards dark fruits like dark cherry, fig and blackberry. Red fruit captured at their full freshness on the palate. The finish is bright and long.The Rose Premiere Cuvee is a great match to fine Italian charcuterie, sushi, poultry or red fruit salad. View More"
14,Secret Indulgence Le Duc Noir Pinot Noir 2016,/product/secret-indulgence-le-duc-noir-pinot-noir-2016/362096,Pinot Noir,California,"{'JD': '94', 'RP': '91'}",4.3,6,2,1,0,0,0,0,0,0,0.0,31.99,20-50,"This 100% Pinot Noir presents a rich red in the glass. The nose is Burgundian in style, with notes of smoke and leather integrating gracefully with cranberry, dried cherry and plum skin. This Russian River based Pinot Noir greets your palate with pomegranate, tart red fruits, Herbes de Provence and hints of cassis, black cardamom and black tea. This wine has a spreading, full body with a long, lingering finish.Pairs well with roasted bone marrow or duck breast with a cherry reduction View More"
15,Bodega Garzon Uruguay Reserve Tannat 2017,/product/bodega-garzon-uruguay-reserve-tannat-2017/519888,Tannat,Uruguay,"{'JS': '92', 'WS': '91'}",4.2,13,2,1,0,0,0,0,0,0,0.0,19.99,<20, View More
16,Laurent-Perrier Cuvee Rose Brut,/product/laurent-perrier-cuvee-rose-brut/10521,Rosé Sparkling Wine,France,"{'CG': '96', 'TP': '93', 'WE': '92', 'WS': '92', 'W&S': '90'}",4.6,143,2,0,0,1,0,0,0,0,0.0,100.0,50-100,"#33 wine in VinePair's Top 50 of 2018The Cuvée Rosé from Laurent-Perrier is the most recognized rosé champagne in the world. It is also one of the few rosés still made by the saignée method. Held in an elegant bottle inspired by King Henri IV, it has been widely acknowledged for its consistent high quality for more that 40 years, and it is the benchmark for rosé champagne around the world.Laurent-Perrier Cuvée Rosé is truly remarkable for its highly expressive bouquet, stemming from very careful preservation of fresh fruit aromas during the wine making. Made with 100% Pinot Noir from 10 different ""crus "" (or villages), from the North and South areas of the Montagne de Reims, as well as the famous Cote de Bouzy. Grapes from carefully selected plots are meticulously sorted and de-stemmed before going into the vats, and the controlled maceration helps with the color extraction and the development of the full aromatic richness of the Pinot Noir.Intensely fruity flavors, clean and slightly sharp, the wine opens to the sensation of freshly picked red berries: strawberries, Morello cherries, black currants and raspberries. The finish is supple and rounded. View More"
17,H. Blin Millesime Brut 2008,/product/h-blin-millesime-brut-2008/514338,Vintage Sparkling Wine,France,"{'WE': '94', 'WS': '91'}",4.5,5,2,0,0,1,0,0,1,0,0.0,69.0,50-100,"Appearance : bright yellow. Abundant and very fine bubbles.Nose : Scents of white flowers and ripe pear.Palate : Aromas of toasted bread. Long finish of exotic fruits.Blend: 50% Pinot Meunier, 50% Chardonnay View More"
18,Dona Paula Estate Malbec 2017,/product/dona-paula-estate-malbec-2017/515009,Malbec,Argentina,{'JS': '91'},4.4,6,2,1,0,0,0,0,0,0,0.0,15.99,<20,"Intense violet color. In the nose, aromas of black fruit, violets and spices, with some mineral and graphite notes, are perceived. Great balance and freshness in the mouth, with good concentration and structure. Soft tannins and persistent finish.Sirloin strip steak, chimi-churri butter, French fries with herbs and roasted tomatoes. A pairing par excellence! And when it comes to preparing it, simplicity makes this dish even more exquisite. View More"
19,Abbazia di Novacella Kerner 2017,/product/abbazia-di-novacella-kerner-2017/431184,Other White Wine,Italy,{'WE': '94'},4.6,8,2,0,1,0,0,0,0,0,0.0,20.99,20-50,"100% Kerner from gravelly marine soils planted at 600-750m in elevation. Vinified in stainless steel tanks using indigenous yeasts, then aged 6 months in stainless steel tanks. View More"
20,Chateau Berliquet 2015,/product/chateau-berliquet-2015/157792,Bordeaux Red Blends,France,"{'JS': '97', 'WS': '92', 'V': '92', 'D': '91'}",4.1,26,2,1,0,0,0,0,0,0,0.0,47.99,20-50, View More
21,Henriot Brut Souverain,/product/henriot-brut-souverain/84831,Non-Vintage Sparkling Wine,France,"{'WE': '94', 'WW': '92', 'WS': '91', 'JS': '91'}",4.2,87,2,0,0,1,0,0,0,0,0.0,50.0,20-50,"A beautiful gold color. The bubbles are persistent, fine and regular. The nose is pleasant, made very elegant by the large amount of Chardonnay. The Brut Souverain is sharp, well balanced and harmonious on the palate. View More"
